year,cowc
1816,USA
1817,USA
1818,USA
1819,USA
1820,USA
1821,USA
1822,USA
1823,USA
1824,USA
1825,USA
1826,USA
1827,USA
1828,USA
1829,USA
1830,USA
1831,USA
1832,USA
1833,USA
1834,USA
1835,USA
1836,USA
1837,USA
1838,USA
1839,USA
1840,USA
1841,USA
1842,USA
1843,USA
1844,USA
1845,USA
1846,USA
1847,USA
1848,USA
1849,USA
1850,USA
1851,USA
1852,USA
1853,USA
1854,USA
1855,USA
1856,USA
1857,USA
1858,USA
1859,USA
1860,USA
1861,USA
1862,USA
1863,USA
1864,USA
1865,USA
1866,USA
1867,USA
1868,USA
1869,USA
1870,USA
1871,USA
1872,USA
1873,USA
1874,USA
1875,USA
1876,USA
1877,USA
1878,USA
1879,USA
1880,USA
1881,USA
1882,USA
1883,USA
1884,USA
1885,USA
1886,USA
1887,USA
1888,USA
1889,USA
1890,USA
1891,USA
1892,USA
1893,USA
1894,USA
1895,USA
1896,USA
1897,USA
1898,USA
1899,USA
1900,USA
1901,USA
1902,USA
1903,USA
1904,USA
1905,USA
1906,USA
1907,USA
1908,USA
1909,USA
1910,USA
1911,USA
1912,USA
1913,USA
1914,USA
1915,USA
1916,USA
1917,USA
1918,USA
1919,USA
1920,USA
1921,USA
1922,USA
1923,USA
1924,USA
1925,USA
1926,USA
1927,USA
1928,USA
1929,USA
1930,USA
1931,USA
1932,USA
1933,USA
1934,USA
1935,USA
1936,USA
1937,USA
1938,USA
1939,USA
1940,USA
1941,USA
1942,USA
1943,USA
1944,USA
1945,USA
1946,USA
1947,USA
1948,USA
1949,USA
1950,USA
1951,USA
1952,USA
1953,USA
1954,USA
1955,USA
1956,USA
1957,USA
1958,USA
1959,USA
1960,USA
1961,USA
1962,USA
1963,USA
1964,USA
1965,USA
1966,USA
1967,USA
1968,USA
1969,USA
1970,USA
1971,USA
1972,USA
1973,USA
1974,USA
1975,USA
1976,USA
1977,USA
1978,USA
1979,USA
1980,USA
1981,USA
1982,USA
1983,USA
1984,USA
1985,USA
1986,USA
1987,USA
1988,USA
1989,USA
1990,USA
1991,USA
1992,USA
1993,USA
1994,USA
1995,USA
1996,USA
1997,USA
1998,USA
1999,USA
2000,USA
2001,USA
2002,USA
2003,USA
2004,USA
2005,USA
2006,USA
